AreaManagerId,AreaId,AreaDesc,StartDateArea,EndDateArea,UsageId
2448,603_BOGP4,In de Bogaard P4 (Rijswijk),20140101,29991231,GARAGEP
164,2004,Oldenzaalsestraat,20140101,29991231,BETAALDP
2448,518_GRMA,Garage Grote Markt (Den Haag),20131125,29991231,GARAGEP
1900,1900_LEMM,Lemmerweg,20140101,29991231,BETAALDP
796,020121,Luybenstraat,20110930,20111001,BETAALDP
164,3004,Parkeerterrein Eikstraat,20120210,20140101,BETAALDP
385,BZVOLENDAM,Blauwe zone Volendam,20120605,29991231,BLAUWEZ
344,V10200,Nieuw Welgelegen west,20131201,29991231,VERGUNP
599,599_PERNIS,P+R Pernis (Rotterdam),20140101,29991231,PARKRIDE
612,236299,Centrum Kern ondernemers,20121026,29991231,BETAALDPO
400,BZ,Blauwe Zone,20121019,29991231,BLAUWEZ
2449,363_OOST,Terrein Oostenburgereiland (Amsterdam),20131106,29991231,TERREINP
772,772_VVV,Straatparkeren Stationsplein / VVV (Eindhoven),20131023,29991231,BETAALDP
106,A12,Torenlaan,20121113,29991231,BETAALDP
439,GORSNOORD,tarief Gors-noord,20131125,29991231,BETAALDP
984,3A4,Hoog onbeperkt 4,20120502,20120503,BETAALDP
424,1,Muiderslot,20120413,29991231,BETAALDP
200,200_ZW,Straatparkeren Zone W woonwijken (Apeldoorn),20131212,20131213,BETAALDP
537,537_TRAM,Garage Tramstraat (Katwijk),20131004,29991231,GARAGEP
363,OZ25-02,OZ25-02 Oud Zuid 2,20050101,29991231,VERGUNP
2448,603_BOGP1,Bogaardplein P1 (Rijswijk),20140101,29991231,GARAGEP
441,441_VOMAR,Straatparkeren Vomar Parkeerdek (Schagen),20131023,29991231,BETAALDP
425,PSZ6,Hoofdweg Lambertus Hortensiuslaan,20120618,29991231,BLAUWEZ
1783,1783_KIJKW,Straatparkeren Kijkerweg te de Lier (Westland),20131024,29991231,BETAALDP
193,193_NOORD,Parkeergarage Noordereiland (Zwolle),20131009,29991231,GARAGEP
363,ZO70,ZO70 Amsterdam Zuidoost niet fiscaal,20050101,29991231,VERGUNP
106,A24,Jan Fabriciusstraat,20121113,29991231,BETAALDP
981,4,Parkeerplaatsen westzijde Beemderlan,20120830,29991231,BETAALDP
1900,1900_BPMV,Boschplein (maaiveld),20140630,29991231,BETAALDP
1684,3,Smidstraat,20120301,29991231,BETAALDP
796,020308,Jan Schofferlaan,20110930,20111001,BETAALDP
90,TOR01,Torenstraat,20130627,29991231,BETAALDP
375,BPCM60_01,Betaald parkeren centrum max 60 min,20111212,29991231,BETAALDP
479,ZD001,Zaandam1,20130517,29991231,BETAALDP
363,GRV016YDK,GRV016YDK Garage IJdok,20140301,29991231,VERGUNP
392,392_APP,Garage De Appelaar (Haarlem),20130926,29991231,GARAGEP
363,RB45B,RB45B Zuideramstel 1,20050101,29991231,VERGUNP
717,28,Parkeerterrein De Vier Hoogten,20121016,20130423,BETAALDP
599,599_BOUZ,Garage Boulevard Zuid (Rotterdam),20131011,29991231,GARAGEP
1900,1900_STKL,Steenklip,20140630,29991231,BETAALDP
796,010111,Sint Janssingel,20111027,29991231,BETAALDP
777,OUDEBRED,Gebiedscode Markt/Oude Bredaseweg,20130716,29991231,BETAALDP
34,ALMBUITEN,straat parkeren almere buiten,20120306,29991231,BETAALDP
166,52F3,Maximaal-4-uur Begrittenstraat,20120511,20140101,BETAALDP
114,78119,Wilhelminastraat (tussen Sterrenkamp en Van Schaikweg),20140722,29991231,BETAALDP
2448,14_OSSENM,Garage Ossenmarkt (Groningen),20130916,29991231,GARAGEP
177,BZ4,Blauwe zone,20120501,29991231,BLAUWEZ
772,772_TPG,Straatparkeren Stationsplein / TPG (Eindhoven),20131023,29991231,BETAALDP
160,13,Gemeentehuis/Sporthal,20120425,20140101,BETAALDP
938,2,Gasthuisstraat,20120416,29991231,BETAALDP
203,ACHTERDSTR,Achterdorpstraat,20120905,29991231,BETAALDP
642,SECTOR5,sector5,20120921,20140414,BETAALDP
928,BPV14,Hoofdstraat (tot Oranjestraat),20130101,29991231,BETAALDP
363,AN95-6,AN95-6 Noord 6,20140101,29991231,VERGUNP
796,030105,Orthenseweg,20111004,20111005,BETAALDP
363,ZD03A,ZD03A Zuid 3.1 De Pijp Noord,20120309,29991231,VERGUNP
599,599_ZMST,Garage Zoomstraat (Rotterdam),20131011,29991231,GARAGEP
160,11,Badhuisplein,20120425,20140101,BETAALDP
503,503_GAST,Straatparkeren Gasthuisplaats (Delft),20131022,29991231,BETAALDP
796,020111,vd Does de Willeboissingel 4 en 5,20110930,29991231,BETAALDP
363,WP60B_U02,WP60B_U02 WS WGF terrein,20120417,29991231,VERGUNP
363,OZ25-02_U1,"OZ25-02_U1 Ferd.Bol, Cuyp WS",20050101,29991231,VERGUNP
796,030517,Citadellaan (voormalige Kruithuis),20111013,20111014,BETAALDP
243,243_P19,Terrein P19 Westeinde (Harderwijk),20131017,29991231,TERREINP
599,599_PRSL,P+R Slinge (Rotterdam),20131011,29991231,PARKRIDE
717,13,Parkeerterrein Nijverheidsweg,20121016,20130423,BETAALDP
222,222_DRBP,Straatparkeren Dr. Bardetplaats (Doetinchem),20131024,29991231,BETAALDP
216,216_JOKST,Straatparkeren Jodenkerkstraat (Culemborg),20131022,29991231,BETAALDP
388,A9,BZ van Noorderkade,20120606,29991231,BETAALDP
74,84050,Stationgebied West,20130305,29991231,BETAALDP
855,855_SPOOR,Straatparkeren Spoorlaan Oost (Tilburg),20131017,20131018,BETAALDP
344,B12100,2e Daalsebuurt,20130426,20130522,BETAALDP
484,484_PALN,Straatparkeren Paradijslaan (Alphen a/d Rijn),20131022,20140718,BETAALDP
361,F,Vergunninggebied F,20100101,29991231,VERGUNP
861,2012003,Repel,20120327,29991231,BETAALDP
512,GEBIED-B1,Paardenwater,20140903,29991231,BETAALDP
503,503_SPOOR,Straatparkeren Spoorzone (Delft),20131029,29991231,BETAALDP
202,BC9,Zijpendaalseweg,20120511,20140101,BETAALDP
2462,439_WOON,Terrein Woonboulevard Wagenweg (Purmerend),20131114,29991231,TERREINP
1742,1742_DHW,Garage De Hoge Wal (Rijssen),20131009,29991231,GARAGEP
981,7,Tentstraat tussen Viergrenzenweg en Kerkstraat,20120830,29991231,BETAALDP
344,B1100,Wijk C,20130426,20130522,BETAALDP
772,772_WPLEIN,Straatparkeren Wilhelminaplein (Eindhoven),20131023,29991231,BETAALDP
150,AS,Zone Pikeurshof,20121218,29991231,BETAALDP
164,H6C001,Sumatrastraat,20140101,29991231,BETAALDP
777,ROOSENDWG,Gebiedscode Roosendaalseweg/Veemarktstraat,20130716,29991231,BETAALDP
796,020401,Buitendijk,20111003,20111004,BETAALDP
363,T16A,T16A ma-za 09-24,20050101,29991231,BETAALDP
677,677_GRAV,Straatparkeren 's Gravenshofstraat (Hulst),20131021,29991231,BETAALDP
2461,518_PARK,Garage Nieuwe Parklaan (Den Haag),20131114,29991231,GARAGEP
363,SO35A_U02,SO35A_U02 Linnaeusstr WS,20050101,29991231,VERGUNP
402,7,Winkelstraten Buitenschil,20120223,20130401,BETAALDP
361,P,Vergunninggebied P,20100101,20131101,VERGUNP
363,GRV009WP,GRV009WP Garage Willemspoort,20131001,29991231,VERGUNP
2448,935_GRIEND,De Griend (Maastricht),20140101,29991231,GARAGEP
405,405_21526,IJsbaan,20140623,29991231,BETAALDP
114,12,Vreding II,20120427,20140721,BETAALDP
677,677_HAVE,Straatparkeren Havenfort (Hulst),20131021,29991231,BETAALDP
794,"7,15",Welpenstraat-1,20120618,29991231,BETAALDP
599,599_15,Zone 15 (Rotterdam),20131101,20140101,BETAALDP
160,8,Blauwe Zone Dedemsvaart,20120425,20140101,BLAUWEZ
2449,398_DEKA,Garage Dekamarkt (Heerhugowaard),20131107,29991231,GARAGEP
363,GRV018MUS,GRV018MUS Museumplein garage,20140901,29991231,VERGUNP
268,268_EIERM,Garage Eiermarkt (Nijmegen),20131002,29991231,GARAGEP
344,B6100,Oudwijk Noord,20130426,20130522,BETAALDP
355,355_KERK,Straatparkeren Kerkweg (Zeist),20131017,29991231,BETAALDP
1783,1783_GRAVE,Straatparkeren centrum - blauwe zone - 's Gravenzande (Westland),20131024,29991231,BLAUWEZ
58,9965,Diepswal,20140626,29991231,BETAALDP
164,7B,7B,20120207,20120301,BETAALDP
748,4,Sector 4,20120621,29991231,BETAALDP
363,OZ30-05_U1,OZ30-05_U1 Hoofddorpweg/Zeilstraat 10c,20050101,29991231,VERGUNP
363,WM54,WM54 Oost-4,20050101,29991231,VERGUNP
1900,1900_BOSP,Garage Boschplein,20140101,29991231,GARAGEP
984,2A,midden A,20120502,20120503,BETAALDP
363,ZB67B,ZB67B Oost-8,20050101,29991231,VERGUNP
928,BPV20,Giessenstraat,20130101,29991231,BETAALDP
344,V6100,Oudwijk Noord,20130124,29991231,VERGUNP
202,202_BOUL,Straatparkeren Boulevard Heuvelink (Arnhem),20131211,29991231,BETAALDP
363,WP61A_U01,WP61A_U01 Spaarndammerstr WS en max 60,20050101,29991231,VERGUNP
363,BV88,BV88 Zuideramstel per 1-1-2012 uitbreiding BV87,20050101,29991231,VERGUNP
356,356_B1,Straatparkeren Zone B1 (Nieuwegein),20131017,29991231,BETAALDP
2448,606_ABC,ABC (Schiedam),20140101,20140102,GARAGEP
2448,307_BEES,Garage Beestenmarkt (Amersfoort),20131118,29991231,GARAGEP
858,858_SCHIL,Straatparkeren Schil centrum gebied (Valkenswaard),20131017,29991231,BETAALDP
80,A1,Zone A max 1 uur,20130228,29991231,BETAALDP
1916,1916_CORB,Garage Corbulo (Leidschendam-Voorburg),20131009,29991231,GARAGEP
796,030301,Leeghwaterlaan,20111027,20140520,BETAALDP
796,010102,Parade,20111027,20140227,BETAALDP
363,GV81X,GV81X Nieuw-West - 1 niet-fiscaal,20050101,29991231,VERGUNP
503,503_GEBC,Straatparkeren Gebied C (Delft),20131029,29991231,BETAALDP
1916,3A1,Voorburg Oud Midden,20120321,29991231,BLAUWEZ
518,518_PLEI,Garage Pleingarage (Den Haag),20130930,29991231,GARAGEP
642,BP_7894,Betaald parkeren tariefzone 2 (Veerplein),20140414,20140415,BETAALDP
344,V3200,Watervogelbuurt,20130124,29991231,VERGUNP
1900,1900_JULS,Julianastraat plein Sophiastraat,20140630,29991231,BETAALDP
90,K1-3,Gauke Boelenstraat,20120808,20130625,BETAALDP
355,355_GASPER,Straatparkeren Gasper (Zeist),20131017,29991231,BETAALDP
2459,363_HEIN,Garage Heinekenplein (Amsterdam),20131111,29991231,GARAGEP
363,ZO01,ZO01 Zuidoost 1 F-Buurt/Vogeltjeswei,20120701,29991231,VERGUNP
344,3300,Hendrik Tollensstraat e.o.,20111118,29991231,BETAALDP
796,030505,Kap. Koopmansplein,20111027,29991231,BETAALDP
