Longitude,Latitude,Adres,Type Lader
514.287,5.207.858,Herculesplein 300 Utrecht,Snellader NewMotion NL-TNM-FC11 chademo
5.087.248,52.098.617,Cartesiusweg 140 Utrecht,Snellader NewMotion NL-TNM-FC10 chademo
454.307,5.194.825,Metaalstraat 5 Rotterdam,Snellader NewMotion NL-TNM-FC09 chademo
444.077,5.192.884,Abraham van Stolkweg 3 Rotterdam,Snellader NewMotion NL-TNM-FC08 chademo
626.903,5.196.683,Edisonstraat 79 Doetinchem,Snellader NewMotion NL-TNM-FC05 chademo
47.532,5.159.891,Spinveld 37 Breda,Snellader NewMotion NL-TNM-FC03 chademo
464.952,5.214.741,Koperweg 1 Alphen aan den Rijn,Snellader NewMotion NL-TNM-FC01 chademo
4.730.588,52.640.105,Jan van Scorelkade 71 Alkmaar,Krachtstroom E-laad AL578 mennekes
-9.103.729,38.786.598,R. Cidade de Goa ,Snellader chademo
-8.613.745,3.999.614,R. da Associa√ß√£o ,Snellader chademo
-9.676.434,5.226.326,RANDLES BROS TRALEE(Randles Brothers.Nissan) ,Snellader chademo
-8.643.563,41.067.799,SALVADOR CAETANO-IND√?STRIAS METAL√?RGICAS E VE√çCULOS DE TRANSPORTE SA ,Snellader chademo
-1.900.635,52.207.607,The Colt Car Co Ltd ,Snellader chademo
0.004125,51.501.389,The Nissan Innovation Station ,Snellader chademo
-7.872.809,52.509.483,Topaz Service Station  Cashel ,Snellader chademo
-628.879,53.380.535,Topaz Service Station  Glasnevin ,Snellader chademo
-6.961.529,54.252.365,Topaz Service Station  Monaghan ,Snellader chademo
-6.407.449,53.339.504,Topaz Service Station  Newlands Cross ,Snellader chademo
-6.310.323,53.303.089,Topaz Service Station  Templeville ,Snellader chademo
4.304.023,50.816.006,Total Anderlecht Road Service ,Snellader chademo
4.284.968,50.838.314,Total Anderlecht Westland ,Snellader chademo
440.215,51.230.057,Rijnkaai 39 ,Snellader Total Bonaparte chademo
4.362.943,5.085.104,Total Bruxelles Pacheco ,Snellader chademo
4.372.366,50.804.245,Total Cambre ,Snellader chademo
441.712,50.882.374,Haachtesteenweg ,Snellader Total Haren chademo
4.886.813,50.463.661,Total Jambes ,Snellader chademo
4.426.651,5.092.028,Total Station-servauto Bel-lux(Total Vilvoorde) ,Snellader chademo
4.408.602,50.848.213,Total Schaerbeek Cerisiers ,Snellader chademo
4.355.199,50.871.078,Total Station-servauto Bel-lux ,Snellader chademo
4.355.192,50.871.056,Total Station-servauto Bel-lux(Total Port de Bruxelles) ,Snellader chademo
4.463.469,50.838.264,Total Woluwe-Saint-Pierre Orban ,Snellader chademo
-5.957.789,37.364.971,Vanauto  (NissanDealer) ,Snellader chademo
684.689,50.980.042,Westfalen Gas Station ,Snellader chademo
-6.453.116,52.355.446,Wexford Car Centre ,Snellader chademo
-6.222.296,53.446.117,Windsor Airside ,Snellader chademo
-636.986,53.294.659,Windsor Belgard (NISSAN Main Dealer) ,Snellader chademo
-6.166.002,53.283.192,Windsor Deansgrange ,Snellader chademo
-90.066,53.289.642,Windsor Galway ,Snellader chademo
-8.515.048,51.893.463,Windsor Motor World ,Snellader chademo
-8.897.387,39.131.638,Auto-Estrada do Norte ,Snellader chademo
-8.898.498,39.130.325,Auto-Estrada do Norte ,Snellader chademo
-8.608.201,40.001.591,Auto-Estrada do Norte ,Snellader chademo
-8.829.239,39.698.971,Auto J√∫lio Leiria ,Snellader chademo
-8.652.428,41.177.887,Av. de Fontes Pereira de Melo 173 ,Snellader chademo
-9.191.292,38.747.887,Av. Gen. Norton de Matos ,Snellader chademo
4.886.716,50.463.665,Avenue de Luxembourg 1 ,Snellader chademo
-3.801.653,4.046.513,A6 CORU√?A (NissanDealer) ,Snellader chademo
-7.244.545,52.654.018,Barlo Nissan - Car Dealer Kilkenny ,Snellader chademo
-9.191.287,38.747.856,"Catedral do Automovel, Estadio da Luz ",Snellader chademo
-8.643.564,41.067.833,Caetano Bus ,Snellader chademo
-8.652.732,4.117.775,Caetano Power Porto ,Snellader chademo
220.152,4.140.591,Cedipsa - Grupo Cepsa ,Snellader chademo
-1.372.017,54.815.174,Dalton Park ,Snellader chademo
-8.980.561,52.863.728,Dulick Motors ,Snellader chademo
-7.634.135,52.083.912,Dungarvan Nissan ,Snellader chademo
-475.433,41.660.641,EYLO MOTOR (NissanDealer) ,Snellader chademo
-8.432.664,40.235.931,Ferreira Morais & Morais ,Snellader chademo
-9.285.539,38.713.318,Galp Gas Station(Auto-Estrada da Costa do Estoril) ,Snellader chademo
-9.292.419,38.703.827,Galp Gas Station ,Snellader chademo
-3.763.862,40.318.089,GAMBOA AUTOMOCI√?N (NissanDealer) ,Snellader chademo
-1.668.555,54.957.642,Gateshead Metrocentre - Green Park ,Snellader chademo
14.689.552,6.316.959,Green Highway at Lill√§nge ,Snellader chademo
-1.933.701,55.687.927,Haggerston Castle Holiday Park ,Snellader chademo
-6.357.608,53.415.737,Hutton & Meade ,Snellader chademo
13.357.133,52.482.174,Innovationszentrum f√ºr Mobilit√§t und gesellschaftlichen Wandel (InnoZ) GmbH ,Snellader chademo
-9.121.017,38.825.211,Labelec ,Snellader chademo
-2.957.714,43.302.116,Lejarza S.A. ,Snellader chademo
-8.581.631,52.648.895,Limerick Nissan (Pat Tiernan Motors) ,Snellader chademo
-7.014.323,53.145.344,Mayfield Motorway Service Area (Texaco) Monasterevin ,Snellader chademo
2.144.217,41.386.799,Motor Llansa ,Snellader chademo
-9.181.845,38.752.258,Novaga Com. de Autom. e Pe√ßas S.A. ,Snellader chademo
-6.364.775,53.332.546,Nissan Ireland HQ ,Snellader chademo
-0.644515,52.060.875,Nissan Motor Cranfield Technology Park ,Snellader chademo
20.254,41.399.712,OTTO DIESEL (NissanDealer) ,Snellader chademo
-9.183.273,38.750.809,Nissan CAETANO POWEL SUL - LISBOA CATEDRAL ,Snellader chademo
-843.512,40.240.101,Nissan FERREIRA MORAIS & MORAIS - COIMBRA ,Snellader chademo
-8.435.709,4.153.672,Nissan CONFIAUTO BRAGA ,Snellader chademo
-3.174.058,55.875.072,ALEX F NOBLE & SON ,Snellader chademo
-0.055369,51.411.175,ANCASTER ,Snellader chademo
0.050574,51.451.134,BEADLES NISSAN LTD ,Snellader chademo
-1.831.862,52.451.801,COLLIERS NISSAN ,Snellader chademo
1.284.923,52.660.473,DESIRA NISSAN ,Snellader chademo
-2.420.233,51.050.804,F J CHALKE LIMITED (WINCANTON) ,Snellader chademo
-2.672.173,5.374.725,FRED COUPE (PRESTON) LTD ,Snellader chademo
-0.000817,51.682.167,GLYN HOPKIN LTD ,Snellader chademo
0.16046,51.574.043,GLYN HOPKIN LTD ,Snellader chademo
0.913556,51.884.438,GLYN HOPKIN LTD ,Snellader chademo
-5.960.585,54.583.015,HURST NISSAN CENTRE ,Snellader chademo
-353.086,50.704.056,JFE ,Snellader chademo
-1.857.242,53.716.717,LIGHTCLIFFE NISSAN ,Snellader chademo
0.284966,51.155.949,MOTORLINE ,Snellader chademo
-0.271245,52.599.083,SMITHS NISSAN ,Snellader chademo
-3.194.549,51.462.677,WESSEX GARAGES CARDIFF ,Snellader chademo
-0.757756,51.248.203,WEST WAY ALDERSHOT Nissan ,Snellader chademo
-1.883.685,52.576.767,WEST WAY BIRMINGHAM Nissan ,Snellader chademo
-2.217.221,53.474.178,WEST WAY MANCHESTER Nissan ,Snellader chademo
-1.308.167,51.828.178,WEST WAY OXFORD Nissan ,Snellader chademo
